Ship type,Technical efficiency,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between diffrenet ports under a MS jurisdiction [m tonnes],CO₂ emissions produced when ships depart from various ports to start their journeys.under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to destination ports under a MS jurisdiction [m tonnes],"CO₂ emissions while ships are in port, either docked or berthed under a MS jurisdiction at berth [m tonnes]",Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Distance Travelled by Ship(nmiles in thousands)
Bulk carrier,5.04,1175.51,3684.86,264.45,2126.53,1015.25,278.64,1515.7,61.72,193.48,19.05
Bulk carrier,5.11,775.78,2446.96,0,133.72,2270.42,42.81,658.8,95.69,301.83,8.11
Bulk carrier,5.11,2095.21,6551.75,0,667.59,5579.43,667.59,1660,115.1,359.92,18.2
Bulk carrier,4.77,541.28,1686.3,252.97,92.91,1285.11,55.32,691.67,80.24,249.97,6.75
Chemical tanker,5.84,2688.85,8428.59,380.71,2890.5,4505.29,652.09,2199.4,102.97,322.77,26.11
Container ship,25.13,538.21,1695.9,0,359.05,1304.34,32.51,426,105.04,330.97,5.12
Bulk carrier,4.22,2817.48,8864.17,140.1,2930.11,5510.74,283.22,2011.5,162.28,510.55,17.36
Bulk carrier,4.5,3024.26,9477.32,1566.33,639.81,6861.29,409.88,1971.1,156.87,491.59,19.28
Bulk carrier,4.33,1074.02,3401.89,420,1034,1758,190,978,113.76,360.33,9.44
Bulk carrier,3.97,1147.39,3611.36,41.49,1746.23,1410.91,412.74,783.7,140.23,441.38,8.18
Oil tanker,3.41,2814.9,8881.35,795.04,2818.6,4525.56,742.14,2017.9,171.51,541.15,16.41
Oil tanker,3.48,1665.5,5209.07,0,2465.46,2423.97,319.64,1153.7,150.87,471.88,11.04
Oil tanker,4.5,3848.78,12219.7,3475.8,2378.63,4643.58,1721.7,2939.3,172.58,547.94,22.3
Bulk carrier,5.12,1019.01,3221.97,545.95,453.03,1981.69,241.3,895.7,101.79,321.84,10.01
Bulk carrier,4,1794.06,5645.69,1012.09,1267.96,3039.05,326.6,1518.45,95.92,301.85,18.7
Chemical tanker,6.29,1804.1,5659.25,723.82,1847.66,2504.92,582.85,2159.32,79.62,249.75,22.66
Bulk carrier,4.09,1938.81,6118.49,0,3615.59,2342.44,160.49,1554,111.47,351.78,17.39
Bulk carrier,4.07,586.09,1847.94,0,1138.93,666.22,42.79,505.5,97.41,307.12,6.02
Bulk carrier,4.06,1250.61,3911.97,29.09,1795.13,2018.76,68.99,1095,107.82,337.26,11.6
Bulk carrier,3.92,3398.29,10718.2,783.8,4277.87,5491.79,164.78,2876,94.64,298.51,35.91
Bulk carrier,4.47,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Bulk carrier,4.47,408.77,1278.04,0,0,1161,117,335,108.34,338.73,3.77
Container ship,11.69,7735.55,24537.11,6829.96,11244.75,4673.52,1788.87,2320.96,273.73,868.26,28.26
Container ship,11.72,18858.18,59557.91,20574.69,23464.19,13506.53,2012.51,4450.94,265.8,839.43,70.95
Container ship,11.86,15646.8,49372.83,10455.77,26788.9,9588.53,2539.63,3651.82,279.47,881.85,55.99
Container ship,10.86,17056.6,53857.19,11197.26,23811.8,17043.1,1805.02,4182.76,264.23,834.32,64.55
Bulk carrier,6.9,2132.82,6698.14,923.65,993.24,4275.61,505.63,1895.76,86.57,271.88,24.64
Bulk carrier,5.55,164.19,518.72,0,222.22,225.97,70.53,262.58,117.03,369.72,1.4
General cargo ship,6.22,449.25,1420.8,0,0,1395.89,24.91,537.43,75.59,239.06,5.94
Bulk carrier,4.68,1761.36,5566.01,1120.46,3385.14,859.68,200.72,1611.66,93.41,295.18,18.86
Bulk carrier,3.78,3568.4,11280.13,948.15,8580.4,1343.17,408.41,2471.2,111.89,353.7,31.89
Bulk carrier,4.4,908.1,2873.37,0,840.28,1968.65,64.44,727.7,114.82,363.3,7.91
Bulk carrier,4.68,3973.46,12399.83,0,4480.08,7611.43,308.32,3157.16,102.03,318.41,38.94
Bulk carrier,3.23,5079.2,15839.1,413.32,5664.11,8772.79,988.88,2402.18,167.83,523.36,30.26
Bulk carrier,6.83,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Vehicle carrier,18.78,248.2,782.29,86.79,194.1,492.55,8.85,225.4,88.26,278.2,2.81
Bulk carrier,6.53,2828.08,8850.67,1522.41,4944.55,2084.2,299.51,2489.25,89.74,280.84,31.51
Bulk carrier,5.54,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Bulk carrier,0,150.65,477.07,397.31,0,0,79.77,159.11,79.37,251.34,1.9
Bulk carrier,7.61,910.23,2879.07,1563.17,560.89,648.6,106.41,1306.7,66.83,211.39,13.62
Bulk carrier,7.03,1047.69,3286.15,286.15,1310.15,1431.29,258.55,1267.5,67.75,212.49,15.46
Bulk carrier,3.92,1642.88,5132.74,0,5132.75,0,0,1181.5,136.2,425.53,12.06
Bulk carrier,3.92,231.61,730.79,0,601.28,0,129.51,216.3,91.56,288.9,2.53
Bulk carrier,NA,1777.34,5555.46,0,1415.25,4000.7,139.51,1651,104.07,325.3,17.08
Bulk carrier,3.82,1760.03,5514.83,0,1193.38,4268.95,52.53,1613.3,101.67,318.56,17.31
Bulk carrier,6.2,1573.09,5003.33,1531.15,2395.75,727.32,349.1,1958.42,82.83,263.45,18.99
Bulk carrier,6.2,1594.11,5040.48,1518.1,1277.82,2029.57,214.99,1980.18,82.33,260.33,19.36
Bulk carrier,3.39,4904.94,15313.64,1381.46,7683.34,5787.54,461.31,3010.6,154.89,483.58,31.67
Ro-pax ship,2.85,22781.25,70966.86,0,35055.35,35184.82,726.18,2743.9,360.63,1123.4,63.17
Bulk carrier,5.77,654.84,2074.58,0,1459.69,602.65,12.25,2483.98,146.17,463.07,4.48
Bulk carrier,5.62,1455.11,4585.36,403.45,476.11,3310.14,395.66,1143,112.04,353.07,12.99
Bulk carrier,4.03,985.47,3089.24,0,1562.71,1411.7,114.83,942.6,93.98,294.6,10.49
Bulk carrier,4.09,811.37,2540.32,263.12,1875.89,259.61,141.71,675.8,112.21,351.31,7.23
Combination carrier,8.29,883.42,2756.39,0,1124.76,1605.67,25.97,774.63,94.32,294.28,9.37
Bulk carrier,7.08,1329.41,4156.39,0,898.14,3099.42,158.83,1475.78,77.44,242.12,17.17
Bulk carrier,6.14,1043,3278.39,451,911,1814,103,1300,75.77,238.15,13.77
Bulk carrier,3.93,1529.92,4837.86,0,1562.15,3202.39,73.32,1413.1,101.76,321.77,15.03
Bulk carrier,3.76,737.84,2315.23,104.31,1034.22,1061.66,115.05,652.5,112.51,353.04,6.56
Bulk carrier,3.76,2339.01,7307.02,110.06,2751.95,3933.11,511.9,1880.4,104.34,325.94,22.42
Bulk carrier,4.17,1356.02,4239.84,0,2189.08,1821.85,228.92,918,118.28,369.82,11.46
Bulk carrier,NA,2168.84,6874.03,0,3093.91,3355.92,424.2,1894.63,113.48,359.67,19.11
Bulk carrier,5.5,1635.68,5139.48,774.52,2264.47,1769.34,331.15,1646,75.11,236.02,21.78
Bulk carrier,4.24,640.84,1999.26,0,188.68,1695.14,115.45,692,79.04,246.58,8.11
Bulk carrier,NA,1058.85,3308.95,0,173.64,3006.91,128.4,1086.53,86.59,270.58,12.23
LNG carrier,7.3,1920.8,5601.51,0,5498.25,0,103.26,422.5,284.82,830.59,6.74
LNG carrier,7.33,5090.2,14948.5,0,10008.09,4560.66,379.75,956.48,462.27,1357.56,11.01
General cargo ship,12.79,1117.06,3559.45,2456,90,111,901,2590,45.14,143.82,24.75
General cargo ship,7.68,1124.89,3544,573.33,1268.33,1462.6,239.74,1759.05,62.78,197.8,17.92
Bulk carrier,4.08,2453.19,7728.1,0,1875.17,5505.3,347.63,2029.32,104.47,329.12,23.48
Bulk carrier,3.87,511.7,1616.66,0,1616.66,0,0,362.1,111.99,353.83,4.57
Bulk carrier,3.87,2909.44,9206.48,19.24,2869.72,6083.13,234.39,2461.8,106.41,336.72,27.34
Bulk carrier,5.92,1162.33,3631.89,0,172.87,3442.63,16.38,1088.8,98.06,306.41,11.85
Oil tanker,3.42,2969.4,9275.58,0,2815.41,5784.96,675.21,1928.84,147.55,460.9,20.12
Oil tanker,3.35,4167.65,13055.3,292.81,5387.95,5401.08,1973.44,1970.4,184.62,578.33,22.57
Oil tanker,3.33,7094.79,22179.15,196.63,9455.72,10734.34,1792.46,3853.08,180.22,563.37,39.37
Oil tanker,3.89,6917.35,21636.82,3409.4,8138.34,8566.55,1522.54,5117.1,144.29,451.31,47.94
Oil tanker,3.89,4282.28,13391.22,0,4653.74,7753.88,983.6,2940.1,142.94,446.98,29.96
Passenger ship,18.07,17782.29,57010.03,44465.76,0,0,12544.29,5337.12,258.87,829.94,68.69
Bulk carrier,4.34,789.9,2491,0,481.03,1940.41,69.57,787.19,98.39,310.29,8.03
Oil tanker,4.17,1359.6,4309.58,108.68,2946.44,957.89,296.56,670.3,149.07,472.52,9.12
Oil tanker,3.66,789.78,2464.84,0,0,2464.85,0,446.5,144.44,450.8,5.47
Oil tanker,4.18,2398.3,7588.2,0,2021,5384,183,660,374.73,1185.66,6.4
Bulk carrier,4.88,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Bulk carrier,7.51,489.32,1524.06,0,0,1524.05,0,651.8,60.05,187.05,8.15
Bulk carrier,3.53,1742.94,5505.63,0,1401.08,4104.55,0,1634.4,98.61,311.49,17.68
Bulk carrier,6.75,1905.11,5989.16,1169.17,1396.94,2526,897.03,1966.32,97.59,306.8,19.52
Bulk carrier,6.75,818.97,2573.42,297.32,1361.32,716.29,198.49,866,81.25,255.31,10.08
Bulk carrier,3.89,1208.83,3828.39,0,3273.75,502.61,52.03,1196.6,94.38,298.91,12.81
Bulk carrier,4.66,1748.68,5474.13,0,1548.21,3828.68,97.23,1547.1,108.62,340.03,16.1
Oil tanker,2.55,1777.28,5566.49,147.42,468.03,4233.69,717.34,733.3,241.18,755.39,7.37
Oil tanker,2.66,5634.2,17612.86,167,6857,9540,1048,3130,194.04,606.57,29.04
Oil tanker,2.77,12527.61,39249.49,0,11808.99,23575.59,3864.93,4565,240.97,754.98,51.99
Bulk carrier,7.4,493.64,1561.78,0,956.12,511.98,93.68,676.4,92.2,291.71,5.35
Bulk carrier,6.93,2705.29,8614.92,0,3059.79,4941.89,613.24,2805.5,81.34,259.03,33.26
Chemical tanker,10.83,3983.8,12458.71,3740.29,5839.5,2504.58,374.14,3076.5,226.28,707.64,17.61
Bulk carrier,4.38,899.35,2839.26,0,182,2558,100,821,90.97,287.2,9.89
Bulk carrier,4.52,1455.41,4559.78,528.3,2606.34,1186.08,239.05,1202.07,103.3,323.63,14.09
Container ship,14.32,477.56,1502.27,675.47,0,478.18,348.62,332.4,203.61,640.49,2.35
Bulk carrier,6.01,1721.71,5406.12,0,1154.38,4189.89,63.7,1613.46,91.31,286.72,18.86
Bulk carrier,6.01,676.32,2144.69,108.21,548.39,1425.69,62.42,646.99,101.06,320.49,6.69
Bulk carrier,3.59,2257.72,7122.72,120.8,3165.87,3613.94,222.11,2669.58,95.59,301.58,23.62
Bulk carrier,4.6,1458.2,4581.33,201.68,1494.33,2601.69,283.63,1634.27,82.78,260.06,17.62
Bulk carrier,4.6,763.2,2397.09,0,1352.02,928.04,117.02,936.52,71.49,224.53,10.68
Bulk carrier,4.29,445.4,1404.65,0,651.99,674.68,77.98,421,84.59,266.77,5.27
Bulk carrier,3.47,831.54,2640.7,0,1590.26,977.87,72.58,593.92,117.35,372.66,7.09
Bulk carrier,2.78,1473.65,4662.24,0,1692.89,2905.42,63.93,905.8,148.81,470.81,9.9
General cargo ship,6.53,672.8,2124.25,281,0,1794.52,48.73,543.72,113.96,359.8,5.9
Container ship,14.24,3568.39,11135.32,1976.08,4995.59,3961.43,202.22,925.8,253.08,789.74,14.1
Container ship,14.24,1946,6079.64,691.16,885.65,4271.37,231.47,546.7,230.27,719.4,8.45
Container ship,14.37,4578.91,14371.53,1690.4,5799.87,6097.69,783.58,1062.9,264.54,830.29,17.31
General cargo ship,9.38,2061.6,6574.67,5106.7,240.2,876.2,351.6,4041,41.55,132.52,49.62
Bulk carrier,6.19,658.95,2055.93,0,286.23,1711.62,58.08,833.38,83.25,259.75,7.92
Bulk carrier,6.19,159.52,503.23,0,109.2,324.46,69.57,158.4,91.31,288.05,1.75
Oil tanker,4.14,2354.1,7444.14,971.71,3356.65,2422.17,693.61,1433.17,144.11,455.69,16.34
Gas carrier,6.08,2448.4,7732.86,0,3750.18,3660.48,322.2,1349.9,127.29,402.02,19.23
Bulk carrier,7.2,109.69,348.43,0,0,328.14,20.29,98.77,96.39,306.18,1.14
Bulk carrier,6.63,1295.57,4042.74,0,2583.02,1367.08,92.65,1690.58,75.82,236.61,17.09
Bulk carrier,6.32,1647.69,5171.76,34.36,1875.36,2804.5,457.53,1529.6,104.54,328.14,15.76
General cargo ship,6.9,2218.67,6998.66,800.2,3476.53,2291.98,429.97,2384.3,74.82,236.01,29.65
Vehicle carrier,NA,602.9,1900.2,0,1809.79,80.47,9.94,530.1,78.77,248.26,7.65
Vehicle carrier,16.77,2055.9,6489.89,1059.19,2574.8,2737.28,118.62,1318.4,95.42,301.22,21.55
Bulk carrier,3.14,1882.31,5875.4,0,3164.24,2518.55,192.57,990.5,162.97,508.69,11.55
Bulk carrier,7.08,293.39,925.07,0,294.55,602.21,28.31,383.6,62.74,197.83,4.68
Bulk carrier,7.07,522.38,1632.28,0,210.76,1345.36,76.14,767.58,66.54,207.91,7.85
General cargo ship,6.75,624.91,1950.2,0,632.05,1210.5,107.66,850.4,65.22,203.53,9.58
Bulk carrier,7.89,224.59,711.51,398.04,283.46,0,30.01,199.6,74.79,236.93,3
Container ship,13.82,2188.52,6861.83,1137.31,2549.76,2364.8,809.95,748.5,260.01,815.22,8.42
Bulk carrier,7.93,1247.3,3913.1,194.88,237.62,3108.08,372.54,1373.1,91.06,285.69,13.7
Bulk carrier,7.93,909.12,2847.96,601.42,1131.94,978.66,135.93,993.5,82.53,258.54,11.02
Container ship,13.75,2842.21,8891.42,1903.61,3460.43,2616.83,910.54,696.9,285.19,892.18,9.97
Container ship,13.75,113.71,357.43,0,76.61,155.87,124.95,31.2,282.58,888.25,0.4
Container ship,13.9,16159.39,50384.21,10712.82,15319.66,21819.13,2532.6,3381.28,323.89,1009.87,49.89
Container ship,13.9,19969.73,62275,15777.63,23049.56,19224.77,4223.05,3621.5,346.93,1081.88,57.56
Container ship,13.9,13511.88,42097.19,12318.47,12463.83,14408.89,2906.01,2966.97,319.7,996.05,42.26
Bulk carrier,4.21,2509.94,7869.13,0,3269.63,4417.75,181.76,1637.78,149.18,467.71,16.82
Bulk carrier,3.41,1044.31,3310.53,1072.37,1357.38,722.69,158.08,818.21,124.32,394.11,8.4
Vehicle carrier,14.98,2618.32,8272.36,380.09,5236.41,2457.11,198.74,2027.2,100.95,318.94,25.94
Vehicle carrier,15.04,2210.3,6929.28,524.16,2951.62,3266.82,186.68,1684.9,100.98,316.57,21.89
Bulk carrier,5.7,2385.01,7480.53,99.55,4474.57,2698.93,207.49,1868.5,123.61,387.69,19.29
Other ship types,11.8,744.25,2325.11,0,2220.27,94.9,9.94,810.75,66.85,208.85,11.13
Bulk carrier,6.48,1263.02,3992.31,111.31,1631.92,2130.42,118.64,1565.1,69.71,220.35,18.12
Bulk carrier,6.3,837.62,2626.69,0,0,2594.96,31.75,1070.48,75.66,237.26,11.07
Bulk carrier,6.3,2659.27,8322.92,222.79,2989.62,5004.58,105.94,3197.88,72.08,225.58,36.89
Bulk carrier,5.65,473.41,1480.67,0,1144.35,322.53,13.79,1176.24,101.22,316.59,4.68
Container ship,10.15,9074.98,28602.72,2796.83,6229.68,18889.84,686.36,2783.83,280.09,882.8,32.4
Container ship,10.15,3536.28,11144,1712.25,5263.72,2834.11,1333.93,800.6,372.63,1174.29,9.49
Container ship,10.15,10269.99,32370.81,5845.7,18491.93,7145.32,887.87,2109.4,326.78,1030,31.43
Container ship,10.15,8457.18,26663.52,2992.37,13471.75,9312.99,886.41,1919.82,321.15,1012.5,26.33
Bulk carrier,4.2,1850.31,5856.02,315.73,3839.87,1365.74,334.67,1653.07,92.59,293.03,19.98
Vehicle carrier,22.79,3753.13,11838.51,1712.52,5134.98,4847.83,143.17,2430.92,95.08,299.91,39.47
General cargo ship,11.2,804.07,2512.55,109.76,681.73,1643.39,77.67,1278.81,50.14,156.68,16.04
Bulk carrier,7.52,627.58,1956.85,0,0,1934.39,22.47,928.4,58.06,181.03,10.81
Bulk carrier,4.2,2897.6,9077.83,286.62,1840.12,6812.42,138.68,2174,136.94,429.02,21.16
Bulk carrier,4.2,3133.58,9829.22,0,4030.11,4547.09,1252.02,1978,147.05,461.25,21.31
Bulk carrier,6.51,1627.01,5160.56,1089.48,2061.97,1683.39,325.71,1937.07,74.36,235.84,21.88
Bulk carrier,5.64,1361.3,4312.38,989.13,2121.03,901.17,301.04,1696.7,73.5,232.84,18.52
Bulk carrier,8.06,2453.17,7705.71,2221.58,3221.82,1542.02,720.3,2715.8,94.11,295.6,26.07
Ro-pax ship,5,18447.1,56348.54,54300,0,0,2060,7623,153.73,469.57,120
Passenger ship,9.13,6710.5,20947.08,14635.36,4059.1,419.84,1832.78,992.42,490.78,1532,13.67
Bulk carrier,9.7,681.45,2149.22,1369.52,0,711.08,68.61,1210.7,58.74,185.26,11.6
Bulk carrier,4.84,798.2,2521.43,244.17,954.27,1180.72,142.26,628.6,102.63,324.21,7.78
Bulk carrier,5.08,2011.1,6361.06,93.94,1728.8,4235.36,302.97,1526,112.57,356.06,17.87
Gas carrier,5.12,4246.9,13293.42,0,6471.54,6025.59,796.28,2656.69,121.09,379.04,35.07
General cargo ship,3.95,2201.58,6879.47,0,3194.02,3552.06,133.4,2116.5,96.35,301.08,22.85
General cargo ship,4.27,1641.39,5182.56,235.48,3181.92,1553.41,211.76,1155.9,111.9,353.3,14.67
Bulk carrier,6.2,721.05,2268.46,0,1351.21,519.94,397.29,461.5,124.48,391.61,5.79
Bulk carrier,3.99,1243.65,3902.75,29.88,1431.37,2200.09,241.41,1044,100.85,316.47,12.33
Bulk carrier,4.3,1487.45,4652.53,0,150.87,4313.73,187.91,1316.3,99.53,311.31,14.94
Oil tanker,4.61,1877.7,5880.16,273.15,3416.77,1759.66,430.57,2806.6,72.19,226.08,26.01
Oil tanker,4.35,1851,5798.84,489.24,2241.78,2494.21,573.6,2132.6,76.65,240.14,24.15
Bulk carrier,5.69,1488.35,4657.35,809.13,2374.36,1240.49,233.59,1608.97,72.16,225.8,20.63
Bulk carrier,5.69,786.56,2451.14,0,226.08,2202.72,22.39,647.8,102.08,318.11,7.71
Bulk carrier,5.69,2147.7,6717.87,0,2540.25,3830.33,347.28,1749.86,108.87,340.54,19.73
Bulk carrier,5.69,919.3,2908,164.47,998.23,1637.27,108.04,858.33,106.11,335.64,8.66
Oil tanker,3.28,1436.2,4487.67,0,1522.52,2714.12,251.03,1441.5,137.61,429.98,10.44
Oil tanker,3.21,1637.23,5121.12,0,1967.89,2863.41,289.82,1034.3,157.21,491.73,10.41
Bulk carrier,7.07,1019,3193.41,332.49,240.45,2540.32,80.15,1377,65.51,205.3,15.55
Bulk carrier,NA,631.81,2000.24,1192.55,0,662.62,145.07,827.8,64.94,205.6,9.73
Bulk carrier,4.67,4066.34,12739.19,106.54,4982.82,7320.3,329.55,3723.01,105.31,329.92,38.61
Bulk carrier,5.24,1678.85,5275.43,660.88,2764.37,1580.71,269.46,1736.3,81.7,256.72,20.55
Bulk carrier,8.69,906.69,2858.4,1414.98,378.68,988.35,76.4,1366,60.53,190.82,14.98
Oil tanker,8.62,3353.5,10585.7,1895.75,3402.86,3641.31,1645.78,3343.9,90.86,286.81,36.91
Oil tanker,8.63,2569.3,8086.44,1362.97,3179.21,2522.46,1021.79,2806.82,91.66,288.48,28.03
Combination carrier,7.79,4295.68,13459.25,5879,3048,3434,1098,3863.6,114.59,359.03,37.49
Oil tanker,4.01,2349.86,7356.24,223.82,3486.03,2803.57,842.81,1119.8,161.81,506.56,14.52
Oil tanker,4.01,566.39,1815.84,0,582.43,859.11,374.3,222.6,216.18,693.07,2.62
Bulk carrier,4.01,1721.79,5399.72,236.22,2390.89,2637.41,135.3,1590.74,92.81,291.07,18.55
Bulk carrier,4.79,400.34,1263.03,0,1263.03,0,0,303.3,101.17,319.19,3.96
General cargo ship,9.79,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Bulk carrier,4.56,3692.31,11572.76,2050.56,4057.08,4907.98,557.14,3105.74,109.48,343.13,33.73
Oil tanker,3.87,3628.04,11385.41,443.75,4992.61,5021.62,927.43,2187.6,131.5,412.66,27.59
Oil tanker,3.87,3598.97,11260.44,0,5429.72,4564.82,1265.9,2251.6,128.43,401.82,28.02
Bulk carrier,3.91,4487.65,14155.19,0,6943.62,6719.8,491.77,5075.61,75.23,237.3,59.65
General cargo ship,10.24,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
General cargo ship,9.77,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
General cargo ship,9.77,154.38,484.12,31.55,0,362.21,90.36,120.02,96.13,301.44,1.61
General cargo ship,10.58,132.21,414.15,0,294.71,52.72,66.72,98.59,104.1,326.1,1.27
General cargo ship,10.55,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
General cargo ship,9.88,162.1,506.4,0,46.1,436.26,24.03,148.6,94.68,295.79,1.71
General cargo ship,10.6,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Bulk carrier,6.89,1071.19,3367.35,326.74,1849.65,897.93,293.03,1322,78.42,246.5,13.66
Oil tanker,12.74,683.76,2133.74,268.15,565.92,1200.66,99.02,977.6,61.16,190.85,11.18
General cargo ship,9.5,93.5,296.43,0,185,67.83,43.6,71.01,117.31,371.93,0.8
General cargo ship,9.51,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
General cargo ship,9.89,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
General cargo ship,9.89,160.5,505.78,0,110.51,250.36,144.91,128.75,102.23,322.15,1.57
Bulk carrier,9.89,311.15,983.67,48.95,344.85,486.64,103.23,329.6,83.15,262.87,3.74
Oil tanker,5.17,883.5,2784.12,0,1336.13,1328.56,119.43,655.6,96.49,304.07,9.16
General cargo ship,9.52,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
General cargo ship,9.93,148.18,467.84,0,319.38,132.75,15.71,152.97,75.18,237.36,1.97
General cargo ship,9.93,155,484.33,0,103.11,348.19,33.02,180.17,68.92,215.35,2.25
General cargo ship,9.55,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Bulk carrier,4.58,802.55,2533.76,97.29,683.52,1548.47,204.47,1243.8,96.51,304.68,8.32
Bulk carrier,4.48,964.9,3046.43,789.62,44.88,2119.93,92.01,1090,75.96,239.84,12.7
Other ship types,5.44,1269.63,4006.29,0,1870.61,2035.91,99.77,909.5,106.66,336.58,11.9
Bulk carrier,4.08,3458.99,10933.16,267.39,5457.71,4586.56,621.48,2946.1,101.3,320.18,34.15
Bulk carrier,3.22,1120.59,3510.18,940.53,1109.39,1379.45,80.79,1261.9,76.67,240.16,14.62
Bulk carrier,4.24,2435.84,7700.38,0,3124.82,4456.55,119.01,2290.6,93.01,294.04,26.19
Bulk carrier,5.16,769.1,2444.71,82.39,1197.99,951.45,212.88,864.1,81.09,257.74,9.48
Bulk carrier,5.08,854.8,2720.6,757.07,859.32,926.6,177.61,1337.2,61.76,196.56,13.84
Bulk carrier,6.68,1106.58,3505.01,1102.42,1615.86,545.77,240.97,1130.95,96.53,305.74,11.46
Bulk carrier,6.68,2299.62,7199.49,916.19,2054.55,3779.88,448.86,2420.85,79.37,248.5,28.97
Bulk carrier,6.68,927.01,2897.39,322.18,0,2284.06,291.12,763.18,102.52,320.44,9.04
Bulk carrier,7.56,290.08,906.18,0,594.18,269.1,42.9,400.17,108.32,338.37,2.68
Bulk carrier,5.92,1750.58,5527.81,898.61,2481.43,1950.42,197.36,1877.03,77.29,244.06,22.65
Bulk carrier,6.55,537.77,1700.99,0,0,1658.45,42.54,449.8,98.78,312.45,5.44
Bulk carrier,5.07,814.91,2557.46,52.5,809.2,1531.53,164.23,625.6,108.64,340.95,7.5
Chemical tanker,5.57,593,1869.17,0,813.45,943.09,112.63,611.6,87.09,274.51,6.81
Ro-ro ship,16.82,12550.95,39122,543.19,19990.07,17753.23,835.51,5752.22,128.7,401.16,97.52
Ro-ro ship,16.82,9027.98,28159,17679.22,5007.59,4388.95,1083.23,4822.63,124.28,387.65,72.64
Bulk carrier,5.59,802.36,2530.96,633.17,1568.72,149.54,179.54,660.62,109.05,343.97,7.36
Container ship,15.44,6349.2,19871.46,5308.94,10661.36,3030.44,870.71,3661.5,140.34,439.25,45.24
Container ship,15.41,6775.9,21191.94,5677.77,11181.62,3265.53,1067.02,3850.7,143.25,448.01,47.3
Bulk carrier,7.69,660.9,2074.61,450.44,545.6,991.04,87.52,1019.6,71.51,224.48,9.24
Bulk carrier,7.99,1395.7,4418.92,1194.81,1857.36,1029.8,336.95,1677.65,76.19,241.21,18.32
Bulk carrier,5.77,815.02,2563.75,528.77,412.76,1538.99,83.23,1039.75,73.19,230.22,11.14
Chemical tanker,8.29,847.03,2701.85,0,580.14,552.64,1569.08,749.8,120.22,383.49,7.05
Chemical tanker,15.24,383.88,1230.72,798.04,277.64,44.24,110.8,635.6,73.16,234.55,5.25
Oil tanker,5.17,735.03,2331.05,164.66,1625.6,195.34,345.45,532,116.47,369.36,6.31
Vehicle carrier,20.98,4534.01,14347.5,0,6659.9,7304.34,383.25,3665.23,86.56,273.91,52.38
Vehicle carrier,18.74,1454.73,4591.62,1084.43,2729.81,647.75,129.62,916.5,98.4,310.58,14.78
Vehicle carrier,23.13,1597.4,5049.8,521.24,3204.27,1058.29,266,1105.66,106.8,337.62,14.96
Vehicle carrier,23.15,1970.56,6218.5,112.57,3568.04,2424.72,113.16,1294.99,98.18,309.84,20.07
Vehicle carrier,18.92,3049.87,9626.74,1959.52,4035.14,3354.14,277.93,1902.5,97.11,306.53,31.41
Bulk carrier,6.07,1920.1,6098.59,1967.27,1618.51,2099.56,413.25,2286.1,78.47,249.25,24.47
Bulk carrier,6.22,1533.96,4836.18,1088.04,2035.64,1496.33,216.18,2081.05,87.92,277.19,17.45
General cargo ship,15,1605.48,5147.16,3539.24,460.77,555.16,591.98,2951.06,52.18,167.29,30.77
Bulk carrier,6.64,2529.12,7909.08,940.72,2533.63,4094.65,340.09,3303.7,69.3,216.71,36.5
Bulk carrier,6.67,1425.18,4499.42,859,1082,2448,110.42,1701,79.07,249.62,18.02
Bulk carrier,5.49,1695.31,5398.5,2420.49,1708.27,1097.7,172.03,1133.1,134.28,427.59,12.63
Bulk carrier,5.67,1234.78,3908.4,275.05,1113.95,2312.75,206.66,1785.1,71.45,226.17,17.28
Bulk carrier,4.76,1489.37,4665.63,398.1,3031.9,1130.96,104.68,1238.7,99.56,311.89,14.96
Bulk carrier,4.76,65.73,208.37,0,137.84,0,70.53,60.1,111.03,351.98,0.59
Oil tanker,3.55,2986.4,9402.97,0,3246.41,4716.84,1439.72,2939,170.41,536.56,17.52
Oil tanker,3.55,2894.82,9181.27,0,2925.5,5069.33,1186.44,2268.7,146.58,464.89,19.75
General cargo ship,11.31,169.5,537.32,0,215,248,74,675,49.79,157.85,3.4
Bulk carrier,5.97,2081.4,6543.75,1378,274,4649,242,1870.8,103.16,324.32,20.18
